RHS250x150x16,dxf,250,150,16.0,24.0,16.0,90.3,0.759,11501,7188,4313,88.79,87.9,710.4,905.8,38.73,58.0,516.4,625.1,88680,849.5,2702.81,975.29,585.18,166.93,212.86,121.36,146.91,115.26,a,1,1,1
RHS260x180x6.3,dxf,260,180,6.3,9.4,6.3,41.9,0.864,5343,3157,2186,51.66,98.3,397.4,474.9,29.29,74.0,325.4,368.9,58100,523.7,1255.52,428.34,296.54,93.38,111.59,76.47,86.68,71.06,a,1,2,2
RHS260x180x8,dxf,260,180,8.0,12.0,8.0,52.7,0.859,6715,3968,2747,63.90,97.5,491.5,591.9,36.08,73.3,400.9,459.0,72210,644.0,1578.10,538.39,372.73,115.51,139.09,94.21,107.85,87.38,a,1,1,1
RHS260x180x10,dxf,260,180,10.0,15.0,10.0,65.1,0.854,8293,4900,3392,77.41,96.6,595.5,723.6,43.51,72.4,483.4,559.9,87980,775.1,1948.78,664.85,460.28,139.94,170.06,113.60,131.59,105.16,a,1,1,1
RHS260x180x12.5,dxf,260,180,12.5,18.8,12.5,80.1,0.848,10207,6032,4176,92.99,95.4,715.3,879.4,51.96,71.3,577.3,678.7,106400,923.8,2398.73,818.35,566.55,168.10,206.67,135.67,159.48,125.34,a,1,1,1
RHS260x180x14.2,dxf,260,180,14.2,21.3,14.2,90.1,0.843,11473,6780,4694,102.8,94.6,790.6,979.8,57.19,70.6,635.5,754.7,118200,1016,2696.17,919.83,636.81,185.80,230.26,149.34,177.35,137.83,a,1,1,1
RHS260x180x16,dxf,260,180,16.0,24.0,16.0,100.3,0.839,12781,7553,5229,112.5,93.8,865.0,1081,62.31,69.8,692.3,831.1,129900,1106,3003.61,1024.72,709.42,203.28,254.09,162.69,195.31,150.02,a,1,1,1
RHS300x200x6.3,dxf,300,200,6.3,9.4,6.3,47.9,0.984,6099,3659,2439,78.29,113.3,521.9,623.8,41.93,82.9,419.3,472.4,84760,680.6,1433.18,496.47,330.98,122.66,146.58,98.55,111.00,92.34,a,1,4,4
RHS300x200x8,dxf,300,200,8.0,12.0,8.0,60.3,0.979,7675,4605,3070,97.17,112.5,647.8,779.3,51.84,82.2,518.4,589.2,105600,840.0,1803.70,624.82,416.55,152.23,183.14,121.83,138.45,113.96,a,1,2,2
RHS300x200x10,dxf,300,200,10.0,15.0,10.0,74.5,0.974,9493,5696,3797,118.2,111.6,788.0,955.5,62.78,81.3,627.8,720.9,129100,1015,2230.78,772.77,515.18,185.17,224.54,147.52,169.40,137.75,a,1,1,1
RHS300x200x12.5,dxf,300,200,12.5,18.8,12.5,91.9,0.968,11707,7024,4683,142.7,110.4,951.5,1165,75.37,80.2,753.7,877.0,156800,1217,2751.23,953.05,635.37,223.61,273.89,177.12,206.09,165.10,a,1,1,1
RHS300x200x14.2,dxf,300,200,14.2,21.3,14.2,103.4,0.963,13177,7906,5271,158.3,109.6,1055,1302,83.28,79.5,832.8,977.8,174600,1343,3096.61,1072.70,715.13,248.04,305.92,195.70,229.78,182.24,a,1,1,1
RHS300x200x16,dxf,300,200,16.0,24.0,16.0,115.4,0.959,14701,8821,5881,173.9,108.8,1159,1441,91.09,78.7,910.9,1080,192500,1468,3454.81,1196.78,797.85,272.45,338.53,214.06,253.77,199.16,a,1,1,1
RHS350x250x6.3,dxf,350,250,6.3,9.4,6.3,57.8,1.184,7359,4293,3066,132.0,133.9,754.5,892.4,78.85,103.5,630.8,709.5,152100,1011,1729.28,582.40,416.00,177.30,209.71,148.24,166.72,137.19,a,2,4,4
RHS350x250x8,dxf,350,250,8.0,12.0,8.0,72.8,1.179,9275,5411,3865,164.5,133.2,940.0,1118,97.98,102.8,783.9,887.8,190300,1254,2179.70,734.10,524.35,220.89,262.73,184.21,208.64,170.19,a,1,3,3
RHS350x250x10,dxf,350,250,10.0,15.0,10.0,90.2,1.174,11493,6704,4789,201.0,132.3,1149,1375,119.4,101.9,955.0,1091,233500,1525,2700.78,909.59,649.71,269.94,323.20,224.41,256.31,206.96,a,1,1,1
RHS350x250x12.5,dxf,350,250,12.5,18.8,12.5,111.5,1.168,14207,8288,5920,244.2,131.1,1395,1685,144.4,100.8,1156,1334,285300,1842,3338.73,1124.44,803.17,327.91,395.91,271.55,313.43,249.93,a,1,1,1
RHS350x250x14.2,dxf,350,250,14.2,21.3,14.2,125.7,1.163,16017,9343,6674,272.0,130.3,1554,1887,160.5,100.1,1284,1492,318900,2044,3764.01,1267.67,905.48,365.26,443.54,301.67,350.71,277.32,a,1,1,1
RHS350x250x16,dxf,350,250,16.0,24.0,16.0,140.5,1.159,17901,10442,7459,300.1,129.5,1715,2095,176.5,99.3,1412,1655,353300,2246,4206.81,1416.80,1012.00,403.00,492.39,331.90,388.83,304.76,a,1,1,1
RHS400x200x8,dxf,400,200,8.0,12.0,8.0,72.8,1.179,9275,6184,3092,195.6,145.2,978.1,1203,66.60,84.7,666.0,742.8,157300,1135,2179.70,838.97,419.48,229.85,282.72,156.51,174.55,153.98,a,1,4,4
RHS400x200x10,dxf,400,200,10.0,15.0,10.0,90.2,1.174,11493,7662,3831,239.1,144.3,1196,1480,80.84,83.9,808.4,910.9,192600,1376,2700.78,1039.53,519.77,280.99,347.83,189.98,214.05,186.73,a,1,2,2
RHS400x200x12.5,dxf,400,200,12.5,18.8,12.5,111.5,1.168,14207,9472,4736,290.6,143.0,1453,1813,97.38,82.8,973.8,1111,234400,1656,3338.73,1285.08,642.54,341.49,426.13,228.83,261.17,224.73,a,1,1,1
RHS400x200x14.2,dxf,400,200,14.2,21.3,14.2,125.7,1.163,16017,10678,5339,323.8,142.2,1619,2032,107.8,82.1,1078,1242,261400,1834,3764.01,1448.77,724.38,380.48,477.44,253.41,291.78,248.77,a,1,1,1
RHS400x200x16,dxf,400,200,16.0,24.0,16.0,140.5,1.159,17901,11934,5967,357.4,141.3,1787,2256,118.2,81.3,1182,1374,288700,2010,4206.81,1619.20,809.60,419.92,530.07,277.87,322.95,272.69,a,1,1,1
RHS450x250x8,dxf,450,250,8.0,12.0,8.0,85.4,1.379,10875,6991,3884,300.8,166.3,1337,1622,121.4,105.7,971.3,1081,270800,1629,2555.70,948.56,526.98,314.18,381.12,228.26,254.14,221.04,a,1,4,4
RHS450x250x10,dxf,450,250,10.0,15.0,10.0,105.9,1.374,13493,8674,4819,368.9,165.4,1640,2000,148.2,104.8,1185,1331,332800,1986,3170.78,1176.85,653.80,385.35,469.99,278.59,312.71,269.47,a,1,3,3
RHS450x250x12.5,dxf,450,250,12.5,18.8,12.5,131.2,1.368,16707,10740,5967,450.3,164.2,2001,2458,179.7,103.7,1438,1631,407200,2406,3926.23,1457.23,809.57,470.27,577.53,337.89,383.19,326.44,a,1,1,1
RHS450x250x14.2,dxf,450,250,14.2,21.3,14.2,148.0,1.363,18857,12122,6735,503.1,163.3,2236,2759,200.0,103.0,1600,1827,455800,2675,4431.41,1644.74,913.74,525.51,648.42,375.97,429.40,363.00,a,1,1,1
RHS450x250x16,dxf,450,250,16.0,24.0,16.0,165.6,1.359,21101,13565,7536,557.1,162.5,2476,3070,220.4,102.2,1763,2029,505500,2947,4958.81,1840.48,1022.49,581.81,721.53,414.38,476.82,399.84,a,1,1,1
RHS500x300x10,dxf,500,300,10.0,15.0,10.0,121.6,1.574,15493,9683,5810,537.6,186.3,2150,2595,244.4,125.6,1629,1826,524500,2696,3640.78,1313.75,788.25,505.36,609.77,382.88,428.99,365.79,a,1,4,4
RHS500x300x12.5,dxf,500,300,12.5,18.8,12.5,150.8,1.568,19207,12005,7203,658.1,185.1,2633,3196,297.8,124.5,1985,2244,643900,3281,4513.73,1628.75,977.25,618.64,750.96,466.56,527.24,445.14,a,1,2,2
RHS500x300x14.2,dxf,500,300,14.2,21.3,14.2,170.3,1.563,21697,13561,8136,737.0,184.3,2948,3593,332.4,123.8,2216,2519,722400,3660,5098.81,1839.88,1103.93,692.78,844.44,520.84,592.04,496.53,a,1,1,1
RHS500x300x16,dxf,500,300,16.0,24.0,16.0,190.8,1.559,24301,15188,9113,817.8,183.4,3271,4005,367.7,123.0,2451,2804,803300,4044,5710.81,2060.71,1236.43,768.76,941.19,576.03,658.88,548.74,a,1,1,1
